                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2386,                 3.1351,                 3.0145,                0.00531,                0.96354,                0.20458,                0.06137,                 1.9773,                 2.9851,                 3.6686,             0.00064957,             0.00064957,             0.00064957
                      2,                 2.0702,                 2.6012,                 2.8692,                0.01423,                0.84375,                0.29494,                0.08459,                  2.117,                  2.893,                  3.526,              0.0013032,              0.0013032,              0.0013032
                      3,                  2.056,                 2.4308,                 3.0438,                0.34673,                0.25521,                0.20396,                0.05898,                 2.0091,                 2.9198,                 3.6896,              0.0019436,              0.0019436,              0.0019436
                      4,                 2.0565,                 2.3551,                 2.9853,                0.32808,                0.41146,                0.32145,                0.11676,                 1.9239,                 2.4415,                 3.6876,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9685,                 2.1452,                 2.9838,                0.25333,                0.41146,                0.19746,                0.05072,                 2.1387,                 2.7543,                 3.6437,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.9959,                 2.1176,                  2.989,                0.29563,                  0.376,                0.21736,                0.06921,                 2.0348,                 2.6541,                 3.8303,               0.001901,               0.001901,               0.001901
                      7,                 1.9584,                 1.9844,                 2.8542,                0.42471,                0.26531,                0.24952,                0.07093,                 2.2093,                 2.5231,                  3.769,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.9026,                 1.9039,                 2.8309,                0.30337,                0.40625,                0.27607,                0.08455,                 1.9987,                 2.5169,                 3.6219,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.9073,                 1.9069,                 2.8408,                0.33733,                0.33854,                0.23538,                0.06833,                 2.2298,                 2.3064,                 3.8163,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.856,                 1.8756,                  2.832,                0.30158,                0.43229,                0.23567,                0.08818,                 1.9824,                 2.6055,                 3.6322,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.8131,                 1.8064,                 2.7307,                0.30132,                0.34896,                0.23704,                 0.0806,                  2.184,                 2.3487,                 3.7753,               0.001802,               0.001802,               0.001802
                     12,                 1.8395,                 1.7924,                  2.797,                0.32018,                0.39739,                0.25812,                0.08619,                 2.0704,                 2.2691,                 3.7675,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.8415,                 1.7391,                 2.7289,                0.26881,                0.40104,                0.25409,                0.09286,                 2.0856,                 2.2902,                 3.6716,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.7872,                 1.6771,                 2.6758,                   0.26,                0.47396,                0.23606,                0.08581,                 2.0356,                 2.3315,                 3.7043,              0.0017426,              0.0017426,              0.0017426
                     15,                   1.79,                 1.6776,                 2.7269,                0.33394,                0.41667,                0.29103,                0.10293,                 1.9803,                 2.2904,                   3.68,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.7477,                 1.7017,                 2.6965,                0.41256,                0.33854,                0.30446,                0.09953,                  2.204,                  2.155,                 3.8373,               0.001703,               0.001703,               0.001703
                     17,                 1.6742,                 1.5575,                 2.6026,                0.35841,                0.42188,                0.27221,                 0.1013,                 2.1161,                 2.3135,                 3.8346,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.7285,                 1.5811,                  2.645,                0.23375,                0.42708,                0.18355,                0.06411,                 2.2363,                 2.3773,                  3.765,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6874,                 1.5971,                 2.5913,                0.30257,                0.58333,                0.32153,                0.11907,                 2.0004,                 2.0759,                 3.7141,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.6966,                 1.5732,                 2.6999,                0.34366,                0.44271,                 0.2895,                0.08721,                 2.2428,                 2.4213,                 3.8245,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6967,                  1.533,                 2.6156,                0.23503,                0.30208,                 0.1832,                0.04958,                 2.2534,                 2.5736,                 3.8347,               0.001604,               0.001604,               0.001604
                     22,                 1.6307,                 1.4737,                 2.5587,                0.29705,                0.32292,                0.21707,                0.06832,                 2.3806,                 2.4819,                 3.9835,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.6288,                 1.4337,                 2.5358,                0.29971,                0.42708,                0.23044,                0.08114,                 2.2251,                 2.2619,                 3.9175,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.6202,                 1.3895,                  2.538,                0.31246,                 0.4375,                0.26791,                0.08985,                 2.1738,                 2.3985,                 3.9557,              0.0015446,              0.0015446,              0.0015446
                     25,                  1.584,                 1.3996,                 2.5062,                0.30094,                0.40359,                0.24308,                0.08395,                 2.0869,                 2.3578,                 3.6843,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.5637,                 1.3895,                 2.4698,                0.32322,                0.53125,                0.27119,                0.09302,                 2.2639,                 2.0961,                 4.0162,               0.001505,               0.001505,               0.001505
                     27,                 1.5775,                 1.3569,                 2.5098,                0.44841,                0.42188,                0.38248,                 0.1477,                 2.0478,                 2.2155,                 3.8843,              0.0014852,              0.0014852,              0.0014852
                     28,                  1.579,                 1.3556,                 2.4694,                 0.3152,                0.44271,                0.26248,                0.08178,                 2.2483,                 2.2237,                 3.9261,              0.0014654,              0.0014654,              0.0014654
                     29,                  1.562,                 1.3234,                 2.5041,                0.31907,                0.38021,                0.24329,                0.08278,                 2.1618,                 2.4028,                 4.0407,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.5125,                 1.3312,                  2.433,                0.29185,                0.33333,                0.20371,                0.07715,                 2.3638,                 2.5195,                  4.278,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.5169,                 1.2563,                 2.4329,                 0.3694,                0.39062,                0.25909,                0.09667,                 2.2218,                 2.2949,                 4.0192,               0.001406,               0.001406,               0.001406
